Component;Subject;Catalog;Section;Course ID;Descr;Tot Enrl;Career;Acad Org;Mon;Tues;Wed;Thurs;Fri;Sat;Sun;Facil ID;Type;Capacity;Mtg Start;Mtg End;Start Date;End Date;Term;Class Nbr;Mode
LEC;ACCT; 201;01;001034;FINANCIAL ACCOUNTING;66;UGRD;CASE;N;Y;N;Y;N;N;N;ENG120;LCTR;62;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1180;P
LEC;ACCT; 201;02;001034;FINANCIAL ACCOUNTING;56;UGRD;CASE;Y;N;Y;N;N;N;N;SNA159;LCTR;65;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1181;P
LEC;ACCT; 201;03;001034;FINANCIAL ACCOUNTING;58;UGRD;CASE;Y;N;Y;N;N;N;N;SNA159;LCTR;65;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1182;P
LEC;ACCT; 201;04;001034;FINANCIAL ACCOUNTING;22;UGRD;CASE;Y;N;Y;N;N;N;N;SNA159;LCTR;65;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;1183;P
LEC;ACCT; 201;05;001034;FINANCIAL ACCOUNTING;53;UGRD;CASE;Y;N;Y;N;N;N;N;SNAB152;LCTR;66;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;2268;P
LEC;ACCT; 202;01;001639;MGMT ACCOUNT;35;UGRD;CASE;Y;N;Y;N;N;N;N;ENGB29;LCTR;79;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;1184;P
LEC;ACCT; 202;02;001639;MGMT ACCOUNT;50;UGRD;CASE;Y;N;Y;N;N;N;N;ENGB29;LCTR;79;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1185;P
LEC;ACCT; 202;03;001639;MGMT ACCOUNT;43;UGRD;CASE;N;Y;N;Y;N;N;N;SNA158;LCTR;70;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;1186;P
LEC;ACCT; 202;04;001639;MGMT ACCOUNT;50;UGRD;CASE;N;Y;N;Y;N;N;N;SNA158;LCTR;70;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1187;P
LEC;ACCT; 403;01;000631;AUDITING;10;UGRD;CASE;Y;N;Y;N;N;N;N;SCIZ07;LCTR;49;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;1189;P
LEC;ACWR; 101;01;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;Y;N;Y;N;N;N;N;CASE136;LCTR;26;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;1618;O
LEC;ACWR; 101;02;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;Y;N;Y;N;N;N;N;SOSZ21;LCTR;39;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;1619;O
LEC;ACWR; 101;03;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;Y;N;Y;N;N;N;N;SOSB35;LCTR;28;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1620;P
LEC;ACWR; 101;04;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;Y;N;Y;N;N;N;N;CASE134;LCTR;27;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1621;P
LEC;ACWR; 101;05;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;Y;N;Y;N;N;N;N;SOS103;LCTR;40;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;1622;P
LEC;ACWR; 101;06;000207;BASIC ACADEMIC WRITING;23;UGRD;CSSH;Y;N;Y;N;N;N;N;SOSB35;LCTR;28;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1623;O
LEC;ACWR; 101;07;000207;BASIC ACADEMIC WRITING;24;UGRD;CSSH;Y;N;Y;N;N;N;N;CASEB13;LCTR;34;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1624;O
LEC;ACWR; 101;08;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;Y;N;Y;N;N;N;N;CASE134;LCTR;27;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;1625;O
LEC;ACWR; 101;09;000207;BASIC ACADEMIC WRITING;23;UGRD;CSSH;N;Y;N;Y;N;N;N;CASE134;LCTR;27;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;1626;P
LEC;ACWR; 101;10;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;N;Y;N;Y;N;N;N;SCIZ07;LCTR;49;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1627;P
LEC;ACWR; 101;11;000207;BASIC ACADEMIC WRITING;25;UGRD;CSSH;N;Y;N;Y;N;N;N;SNA156;LCTR;49;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1628;P
LEC;ACWR; 101;12;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;N;Y;N;Y;N;N;N;SOSB35;LCTR;28;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;1629;P
LEC;ACWR; 101;13;000207;BASIC ACADEMIC WRITING;23;UGRD;CSSH;N;Y;N;Y;N;N;N;SOSB35;LCTR;28;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1630;P
LEC;ACWR; 101;14;000207;BASIC ACADEMIC WRITING;24;UGRD;CSSH;N;Y;N;Y;N;N;N;SNA156;LCTR;49;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1631;P
LEC;ACWR; 101;15;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;N;Y;N;Y;N;N;N;SNA156;LCTR;49;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;1632;P
LEC;ACWR; 101;16;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;Y;N;Y;N;N;N;N;SOSB35;LCTR;28;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;1633;P
LEC;ACWR; 101;17;000207;BASIC ACADEMIC WRITING;23;UGRD;CSSH;Y;N;Y;N;N;N;N;ENGB15;LCTR;35;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1634;P
LEC;ACWR; 101;18;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;Y;N;Y;N;N;N;N;SOSB35;LCTR;28;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;1635;P
LEC;ACWR; 101;19;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;Y;N;Y;N;N;N;N;CASEB35;LCTR;34;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;1636;P
LEC;ACWR; 101;20;000207;BASIC ACADEMIC WRITING;23;UGRD;CSSH;Y;N;Y;N;N;N;N;SOS104;LCTR;40;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1637;P
LEC;ACWR; 101;21;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;N;Y;N;Y;N;N;N;CASEB35;LCTR;34;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;2329;P
LEC;ACWR; 101;22;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;Y;N;Y;N;N;N;N;CASEB35;LCTR;34;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;3654;P
LEC;ACWR; 101;23;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;N;Y;N;Y;N;N;N;SCIZ07;LCTR;49;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;3657;P
LEC;ACWR; 101;24;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;N;Y;N;Y;N;N;N;CASEZ25;LCTR;36;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;3658;P
LEC;ACWR; 101;25;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;Y;N;Y;N;N;N;N;SNAA11;LCTR;22;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;3659;P
LEC;ACWR; 101;26;000207;BASIC ACADEMIC WRITING;2;UGRD;CSSH;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3660;P
LEC;ACWR; 101;27;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;Y;N;Y;N;N;N;N;ENGZ21A;LCTR;20;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;3661;P
LEC;ACWR; 101;28;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;Y;N;Y;N;N;N;N;CASEB12;LCTR;23;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;3662;P
LEC;ACWR; 101;29;000207;BASIC ACADEMIC WRITING;22;UGRD;CSSH;Y;N;Y;N;N;N;N;CASEB40;LCTR;34;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;3663;P
LEC;ACWR; 103;01;000004;ACAD. WR. FOR BUS.;13;UGRD;CSSH;N;Y;N;Y;N;N;N;CASE216;LCTR;39;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;1655;P
LEC;ACWR; 103;02;000004;ACAD. WR. FOR BUS.;20;UGRD;CSSH;N;Y;N;Y;N;N;N;CASEB35;LCTR;34;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1656;P
LEC;ACWR; 103;03;000004;ACAD. WR. FOR BUS.;20;UGRD;CSSH;N;Y;N;Y;N;N;N;ENGZ21A;LCTR;20;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1657;P
LEC;ACWR; 103;04;000004;ACAD. WR. FOR BUS.;20;UGRD;CSSH;N;Y;N;Y;N;N;N;ENGZ21A;LCTR;20;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1658;P
LEC;ACWR; 103;05;000004;ACAD. WR. FOR BUS.;18;UGRD;CSSH;N;Y;N;Y;N;N;N;ENGZ21A;LCTR;20;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;1659;P
LEC;ACWR; 103;06;000004;ACAD. WR. FOR BUS.;1;UGRD;CSSH;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;1660;P
LEC;ACWR; 103;07;000004;ACAD. WR. FOR BUS.;20;UGRD;CSSH;Y;N;Y;N;N;N;N;ENGZ21A;LCTR;20;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1661;P
LEC;ACWR; 103;08;000004;ACAD. WR. FOR BUS.;20;UGRD;CSSH;Y;N;Y;N;N;N;N;ENGB16;LCTR;36;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1662;P
LEC;ACWR; 103;09;000004;ACAD. WR. FOR BUS.;20;UGRD;CSSH;Y;N;Y;N;N;N;N;ENGZ21A;LCTR;20;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1663;P
LEC;ACWR; 103;10;000004;ACAD. WR. FOR BUS.;20;UGRD;CSSH;Y;N;Y;N;N;N;N;ENGZ21A;LCTR;20;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;1664;P
LEC;ACWR; 103;11;000004;ACAD. WR. FOR BUS.;20;UGRD;CSSH;N;Y;N;Y;N;N;N;CASEB35;LCTR;34;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1665;P
LEC;ACWR; 103;12;000004;ACAD. WR. FOR BUS.;20;UGRD;CSSH;N;Y;N;Y;N;N;N;CASEB35;LCTR;34;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1666;P
LEC;ACWR; 103;13;000004;ACAD. WR. FOR BUS.;20;UGRD;CSSH;Y;N;Y;N;N;N;N;ENGB15;LCTR;35;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;1667;P
LEC;ACWR; 103;14;000004;ACAD. WR. FOR BUS.;20;UGRD;CSSH;Y;N;Y;N;N;N;N;SNAA11;LCTR;22;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1668;P
LEC;ACWR; 103;16;000004;ACAD. WR. FOR BUS.;16;UGRD;CSSH;Y;N;Y;N;N;N;N;SNAA11;LCTR;22;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1670;P
LEC;ACWR; 104;01;000005;ACAD. WR. FOR SOCI.SCI.;20;UGRD;CSSH;N;Y;N;Y;N;N;N;CASEB39;LCTR;34;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1672;P
LEC;ACWR; 104;02;000005;ACAD. WR. FOR SOCI.SCI.;0;UGRD;CSSH;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;1673;P
LEC;ACWR; 104;03;000005;ACAD. WR. FOR SOCI.SCI.;9;UGRD;CSSH;N;Y;N;Y;N;N;N;SNAA11;LCTR;22;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1674;P
LEC;ACWR; 104;04;000005;ACAD. WR. FOR SOCI.SCI.;20;UGRD;CSSH;Y;N;Y;N;N;N;N;CASEZ25;LCTR;36;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1675;P
LEC;ACWR; 104;06;000005;ACAD. WR. FOR SOCI.SCI.;20;UGRD;CSSH;Y;N;Y;N;N;N;N;SNAB173;LCTR;47;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1677;P
LEC;ACWR; 104;07;000005;ACAD. WR. FOR SOCI.SCI.;20;UGRD;CSSH;Y;N;Y;N;N;N;N;SNA104;LCTR;48;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1678;P
LEC;ACWR; 104;08;000005;ACAD. WR. FOR SOCI.SCI.;20;UGRD;CSSH;N;Y;N;Y;N;N;N;SNAA11;LCTR;22;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1679;P
LEC;ACWR; 104;09;000005;ACAD. WR. FOR SOCI.SCI.;20;UGRD;CSSH;N;Y;N;Y;N;N;N;ENGZ21A;LCTR;20;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1680;P
LEC;ACWR; 104;10;000005;ACAD. WR. FOR SOCI.SCI.;17;UGRD;CSSH;N;Y;N;Y;N;N;N;ENGZ21A;LCTR;20;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;1681;P
LEC;ACWR; 104;11;000005;ACAD. WR. FOR SOCI.SCI.;20;UGRD;CSSH;N;Y;N;Y;N;N;N;CASE216;LCTR;39;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1682;P
LEC;ACWR; 104;12;000005;ACAD. WR. FOR SOCI.SCI.;16;UGRD;CSSH;N;Y;N;Y;N;N;N;ENGZ21A;LCTR;20;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;2171;P
LEC;ACWR; 104;13;000005;ACAD. WR. FOR SOCI.SCI.;20;UGRD;CSSH;Y;N;Y;N;N;N;N;CASEB13;LCTR;34;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;2172;P
LEC;ACWR; 104;14;000005;ACAD. WR. FOR SOCI.SCI.;20;UGRD;CSSH;N;Y;N;Y;N;N;N;CASE136;LCTR;26;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;2330;P
LEC;ACWR; 105;01;000006;ACAD. WR.  FOR HUMANITIES;20;UGRD;CSSH;N;Y;N;Y;N;N;N;CASE216;LCTR;39;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1683;P
LEC;ACWR; 106;03;000007;ACAD.  WR. FOR SCI.&TECH;15;UGRD;CSSH;N;Y;N;Y;N;N;N;SNAB173;LCTR;47;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1687;P
LEC;ACWR; 106;04;000007;ACAD.  WR. FOR SCI.&TECH;19;UGRD;CSSH;N;Y;N;Y;N;N;N;SNAA11;LCTR;22;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1688;P
LEC;ACWR; 106;06;000007;ACAD.  WR. FOR SCI.&TECH;17;UGRD;CSSH;Y;N;Y;N;N;N;N;CASEB13;LCTR;34;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1690;P
LEC;ACWR; 106;07;000007;ACAD.  WR. FOR SCI.&TECH;20;UGRD;CSSH;Y;N;Y;N;N;N;N;CASEB39;LCTR;34;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1691;P
LEC;ACWR; 106;10;000007;ACAD.  WR. FOR SCI.&TECH;19;UGRD;CSSH;N;Y;N;Y;N;N;N;CASEZ25;LCTR;36;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1694;P
LEC;ACWR; 106;11;000007;ACAD.  WR. FOR SCI.&TECH;20;UGRD;CSSH;N;Y;N;Y;N;N;N;CASEZ25;LCTR;36;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1695;P
LEC;ACWR; 106;12;000007;ACAD.  WR. FOR SCI.&TECH;20;UGRD;CSSH;N;Y;N;Y;N;N;N;CASEZ25;LCTR;36;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;1696;P
LEC;ACWR; 106;13;000007;ACAD.  WR. FOR SCI.&TECH;22;UGRD;CSSH;Y;N;Y;N;N;N;N;SNAA11;LCTR;22;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;1698;P
LEC;ACWR; 106;14;000007;ACAD.  WR. FOR SCI.&TECH;20;UGRD;CSSH;Y;N;Y;N;N;N;N;CASE216;LCTR;39;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1699;P
LEC;ACWR; 106;15;000007;ACAD.  WR. FOR SCI.&TECH;20;UGRD;CSSH;Y;N;Y;N;N;N;N;CASEB35;LCTR;34;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1700;P
LEC;ACWR; 106;16;000007;ACAD.  WR. FOR SCI.&TECH;20;UGRD;CSSH;Y;N;Y;N;N;N;N;CASEB12;LCTR;23;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;1701;P
LEC;ACWR; 106;17;000007;ACAD.  WR. FOR SCI.&TECH;19;UGRD;CSSH;N;Y;N;Y;N;N;N;CASEZ26;LCTR;36;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;2173;P
LEC;ACWR; 106;18;000007;ACAD.  WR. FOR SCI.&TECH;20;UGRD;CSSH;N;Y;N;Y;N;N;N;ENGB15;LCTR;35;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;2174;P
LEC;ACWR; 106;19;000007;ACAD.  WR. FOR SCI.&TECH;20;UGRD;CSSH;Y;N;Y;N;N;N;N;SCIZ32;LCTR;25;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;2345;P
LEC;ACWR; 106;20;000007;ACAD.  WR. FOR SCI.&TECH;19;UGRD;CSSH;Y;N;Y;N;N;N;N;SOSB35;LCTR;28;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;2346;P
LEC;ACWR; 106;21;000007;ACAD.  WR. FOR SCI.&TECH;20;UGRD;CSSH;Y;N;Y;N;N;N;N;ENGB05;LCTR;34;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;2347;P
LEC;ACWR; 106;22;000007;ACAD.  WR. FOR SCI.&TECH;20;UGRD;CSSH;Y;N;Y;N;N;N;N;SCIZ32;LCTR;25;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;2348;P
LEC;ACWR; 106;23;000007;ACAD.  WR. FOR SCI.&TECH;20;UGRD;CSSH;Y;N;Y;N;N;N;N;ENGB05;LCTR;34;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;2349;P
LEC;ACWR; 107;01;000008;LEGAL WRITING;21;UGRD;CSSH;Y;N;Y;N;N;N;N;CASEB41;LCTR;34;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1702;P
LEC;ALIS; 100;01;000434;ACADEMIC AND LIFE SKILLS;24;UGRD;DOS;N;Y;N;N;N;N;N;CASE134;LCTR;27;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;2357;P
LEC;ALIS; 100;02;000434;ACADEMIC AND LIFE SKILLS;24;UGRD;DOS;N;N;Y;N;N;N;N;CASE134;LCTR;27;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;2358;P
LEC;ALIS; 100;03;000434;ACADEMIC AND LIFE SKILLS;19;UGRD;DOS;N;N;N;Y;N;N;N;CASE134;LCTR;27;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;2359;P
LEC;ALIS; 100;04;000434;ACADEMIC AND LIFE SKILLS;25;UGRD;DOS;N;Y;N;N;N;N;N;STDB328;LCTR;50;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;2360;P
LEC;ALIS; 100;05;000434;ACADEMIC AND LIFE SKILLS;25;UGRD;DOS;N;Y;N;N;N;N;N;STDB328;LCTR;50;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;2361;P
LEC;ALIS; 100;06;000434;ACADEMIC AND LIFE SKILLS;25;UGRD;DOS;N;N;Y;N;N;N;N;STDB328;LCTR;50;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;2362;P
