Subject;Catalog;Descr;Section;Course ID;Exam Date;Start Time;End Time;Facil ID;Exam Type;Tot Enrl;Acad Org;Term
ACCT; 201;FINANCIAL ACCOUNTING;01;001034;28.11.2022;19:00:00;22:00:00;SNAA21;MID;71;CASE;2221
ACCT; 201;FINANCIAL ACCOUNTING;01;001034;18.01.2023;11:45:00;14:45:00;SOS186;FIN;71;CASE;2221
ACCT; 201;FINANCIAL ACCOUNTING;02;001034;18.01.2023;11:45:00;14:45:00;SOS186;FIN;79;CASE;2221
ACCT; 201;FINANCIAL ACCOUNTING;02;001034;28.11.2022;19:00:00;22:00:00;SNAA22;MID;79;CASE;2221
ACCT; 201;FINANCIAL ACCOUNTING;03;001034;18.01.2023;11:45:00;14:45:00;SOSB08;FIN;81;CASE;2221
ACCT; 201;FINANCIAL ACCOUNTING;03;001034;28.11.2022;19:00:00;22:00:00;SNAA52;MID;81;CASE;2221
ACCT; 201;FINANCIAL ACCOUNTING;03;001034;28.11.2022;19:00:00;22:00:00;SNAA51;MID;81;CASE;2221
ACCT; 201;FINANCIAL ACCOUNTING;03;001034;18.01.2023;11:45:00;14:45:00;SOS186;FIN;81;CASE;2221
ACCT; 201;FINANCIAL ACCOUNTING;04;001034;28.11.2022;19:00:00;22:00:00;ENGZ50;MID;80;CASE;2221
ACCT; 201;FINANCIAL ACCOUNTING;04;001034;18.01.2023;11:45:00;14:45:00;ENGZ50;FIN;80;CASE;2221
ACCT; 201;FINANCIAL ACCOUNTING;05;001034;28.11.2022;19:00:00;22:00:00;ENGZ50;MID;80;CASE;2221
ACCT; 201;FINANCIAL ACCOUNTING;05;001034;18.01.2023;11:45:00;14:45:00;ENGZ50;FIN;80;CASE;2221
ACCT; 202;MGMT ACCOUNT;01;001639;27.11.2022;08:30:00;11:30:00;SNAA52;MID;51;CASE;2221
ACCT; 202;MGMT ACCOUNT;01;001639;19.01.2023;18:15:00;21:15:00;SNAB172;FIN;51;CASE;2221
ACCT; 202;MGMT ACCOUNT;02;001639;27.11.2022;08:30:00;11:30:00;SNAA21;MID;23;CASE;2221
ACCT; 202;MGMT ACCOUNT;02;001639;19.01.2023;18:15:00;21:15:00;SNAA21;FIN;23;CASE;2221
ACCT; 202;MGMT ACCOUNT;03;001639;27.11.2022;08:30:00;11:30:00;SNAA22;MID;50;CASE;2221
ACCT; 202;MGMT ACCOUNT;03;001639;19.01.2023;18:15:00;21:15:00;SNAA22;FIN;50;CASE;2221
ACCT; 321;FIN. STATEMENTS ANALYSIS;01;001031;27.11.2022;08:30:00;11:30:00;SNAA22;MID;19;CASE;2221
ACCT; 321;FIN. STATEMENTS ANALYSIS;01;001031;19.01.2023;18:15:00;21:15:00;SNAA22;FIN;19;CASE;2221
